Gene,HCC_122_N,HCC_122_T,HCC_34_N,HCC_34_T,HCC_36_N,HCC_36_T,HCC_37_N,HCC_37_T,HCC_77_N,HCC_77_T,HCC_12_N,HCC_12_T,HCC_13_N,HCC_13_T,HCC_15_N,HCC_15_T,HCC_19_N,HCC_19_T,HCC_1_N,HCC_1_T
SMOC2,1.67,0.39,1.01,0.18,13.81,2.23,26.34,1.41,1.3,4.33,0.37,23.54,0.17,0.61,0.64,0.74,9.48,1.23,3.44,49.5
SMOX,1.25,2.66,0.43,0.14,2.41,2.04,3.41,1.16,3.04,2.67,1.67,3.63,0.69,8.43,0.53,2.92,2.98,0.7,2.35,12.57
SMPD1,23.54,26.3,16.93,13.33,14.53,19.13,16.76,13.43,45.88,53.42,19.34,18.68,27.11,15.96,37.88,31.29,36.67,33.25,40.39,25.18
SMPD2,1.84,2.06,1.82,2.42,3.41,2.6,3.9,2.22,3.32,1.9,1.84,2.41,2.8,5.67,3.11,3.84,4.23,5.78,2.13,5.58
SMPD3,0.33,0.04,0.4,0.02,1.18,0,0.69,0.13,0.76,0.52,0.14,0.11,1.07,0.1,0.28,0.06,1.51,0.1,0.88,0.44
SMPD4,7.76,12.28,2.57,3.64,4.6,5.26,6.32,5.87,6.38,6.93,4.88,5.89,4.13,11.51,2.98,8.69,6.34,10.71,7.34,14.74
SMPDL3A,28.55,9.28,26.31,38.52,29.63,28.2,14.7,12.94,22.4,10.83,12.71,7.15,9.44,26.6,22.61,61.94,18.75,25.62,20.42,19.62
SMPDL3B,0.2,0,0.29,0,1.64,0.63,3.01,0.5,0.77,0,0.13,0.4,0.2,3.03,0.19,0.64,2,0.06,0.83,2.64
SMPX,0.17,0.13,0.52,5.7,0.05,2.7,0.29,5.36,0.29,1.51,0.15,2.24,0,0.36,0,0.21,0,2.22,0.05,1.95
SMR3A,0,0,0,0.1,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0
SMR3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMS,18.65,18.44,24.28,29.22,49,43.7,38.3,47.89,15.92,15.18,16.37,22.36,10.16,26.85,22.15,16.08,21.66,26.95,17.64,42.74
