Gene,UC4,UC5,CD5,CTR1,CD2,UC3,CD1,UC2,CTR2,UC1,CD6,CTR4,CD3,CTR3,CTR5
SHQ1,3.36858173,2.586558297,2.775063301,3.062883567,3.084493823,3.730681013,2.379794916,3.206520046,3.460290862,3.06618509,3.272194235,3.354831525,2.902649985,2.765762779,3.256979888
SHROOM1,3.793790023,5.928840237,2.326643198,4.059760082,5.464296202,7.123059223,8.08410967,3.315265792,9.84362846,5.073969458,4.02122267,9.399029278,2.832602677,4.005953145,4.688020736
SHROOM2,0.539781143,0.694475116,1.178270086,0.945563315,1.466765586,1.894051665,2.21415158,0.583724577,3.855316096,1.24811072,1.006966932,1.966542015,0.572819272,0.58843598,0.619188919
SHROOM3,10.92204118,9.035455626,5.249664537,10.08975814,11.18438825,12.78110327,10.98707053,5.967495029,19.25953366,10.42730682,5.929922185,17.69123625,5.711307451,11.07623695,12.82151287
SHROOM4,3.590275656,3.604719861,3.723307183,1.359124355,3.29344305,2.330079808,3.179235878,3.82992688,1.685549036,3.62540966,3.46987409,1.670454865,2.86065281,2.12532266,3.057265288
SHTN1,2.539719029,1.656721007,3.879188974,2.425669947,2.691200743,3.232891261,4.480277177,1.79443797,3.321048012,2.67650274,2.179937709,3.512432007,1.911236621,2.405491754,2.218512291
SI,8.975036988,11.61993738,85.90475969,206.9009566,261.4031231,10.60791277,14.04102927,4.517885372,12.89211116,11.0155762,78.25719495,8.970450104,97.26169593,207.4900194,4.840774221
SIAE,11.92847708,10.9383551,8.483079847,7.769504989,10.21966579,21.97544532,15.10108535,8.315371345,21.88828957,14.49515855,6.38355052,20.98112664,6.825703677,9.78770229,10.54337238
SIAH1,2.466303727,2.656058788,2.762611375,3.270506772,3.542096154,2.937853339,3.361141002,3.349541934,3.859882613,2.774459852,3.678901465,4.032828428,3.855870378,3.322015204,2.752629066
SIAH2,20.93658232,28.34417019,16.89185745,23.27999555,15.53553235,18.81729991,18.05551094,29.17402996,19.15333647,16.9401431,17.45438099,18.45976616,18.73941739,15.50139997,17.84657063
SIAH3,0.030696032,0.036506227,0.1481525,0.410282483,0.121930239,0.142319627,0.0610691,0,0.052748606,0.086338532,0.277897583,0.010790849,0.16518442,0.136330389,0.07347711
SIDT1,4.618023248,4.926495462,4.831665704,6.758582117,5.621926688,7.202233654,6.190088315,6.470599151,6.76247597,6.916826086,6.956413231,4.854063835,5.877728635,3.737947831,3.761668852
SIDT2,15.75801451,16.36548336,21.07033627,27.77768924,23.52975157,15.78053752,27.19793927,15.98170522,20.98027016,15.83155295,23.31921651,17.84273274,20.07532003,21.35608362,16.29442571
SIGIRR,12.70318736,14.34684936,8.821747889,14.92283584,16.53542906,17.96578985,16.14544964,10.60773814,22.46384796,12.03001521,15.14089404,22.8230778,13.66435493,11.60265514,18.7696
SIGLEC1,13.09023582,12.63760315,14.63298263,11.00536166,11.50363101,6.810943353,12.3248687,15.26600111,10.34526078,16.01758639,6.981176376,8.956963387,10.93949657,14.23444921,13.02365431
SIGLEC10,10.14217163,10.3818481,15.6612667,18.3705372,10.51527065,14.47087434,6.615381289,5.179259199,6.39874473,2.838127588,3.169948411,4.775045854,6.807258863,6.469395698,17.16753496
SIGLEC11,1.307296115,2.278237603,0.64032905,1.528192098,1.902319697,0.615118824,1.297843745,1.104227875,1.121016176,0.873748128,1.503815645,1.474249407,1.977071848,3.486122818,4.129581357
SIGLEC12,4.553244775,13.49638913,8.974912587,4.819905699,3.037397051,13.43594151,2.219698609,2.276113764,2.616089266,3.854634145,1.940451101,2.950802834,2.115000752,1.753190962,18.07801333
SIGLEC14,0,3.156367195,4.641509599,4.539758278,0,1.556449468,1.508599808,0,0,0,1.787747073,0,1.716589029,1.277956621,4.092116213
