Gene,PC_1 prostate tumor,PC_1 matched normal tissue,PC_2 prostate tumor,PC_2 matched normal tissue,PC_3 prostate tumor,PC_3 matched normal tissue,PC_4 prostate tumor,PC_4 matched normal tissue,PC_5 prostate tumor,PC_5 matched normal tissue,PC_6 prostate tumor,PC_6 matched normal tissue,PC_7 prostate tumor,PC_7 matched normal tissue,PC_8 prostate tumor,PC_8 matched normal tissue,PC_9 matched normal tissue,PC_9 prostate tumor,PC_10 matched normal tissue,PC_10 prostate tumor
SESN1,17.1406,14.9244,12.3944,13.7588,36.9854,21.33,60.6957,17.4383,20.5716,14.9466,14.277,17.5723,7.9837,8.4335,39.1028,23.9762,14.2634,11.2408,24.9121,15.3994
TRIM38,7.6722,12.3599,9.6753,2.6602,11.6173,10.0235,7.6046,11.1339,8.4329,12.8387,10.1129,11.7618,7.9395,8.4325,6.2293,8.6163,11.8521,12.45,6.4897,6.2637
NUP50,15.2107,11.3344,10.7807,9.6029,12.2469,14.819,12.2984,7.5375,10.1838,10.789,11.6267,13.1431,8.4262,8.4316,11.9074,6.6508,8.16,9.9144,6.954,10.3709
EPB41,14.9248,9.3669,9.8445,9.3766,8.8184,11.158,10.7683,5.0642,11.5059,8.9873,8.2156,10.0928,7.1161,8.4298,9.9168,6.4883,6.517,7.8185,5.5336,9.3594
SNX27,9.4569,7.5144,7.6676,7.9557,7.7184,7.7472,7.0596,6.1455,8.4346,9.0429,7.8728,9.1163,8.9287,8.4295,7.4125,8.8814,9.272,7.8621,5.2467,7.5474
PKNOX2,4.086,13.9297,8.2897,7.0927,2.8025,8.6218,10.3355,4.2467,4.7872,8.3687,6.0827,8.8926,7.8595,8.4268,12.0237,9.3325,4.5631,3.8497,6.4018,6.6304
MEGF8,9.0919,7.4569,4.6967,4.6855,5.6282,8.3429,5.8435,4.1358,5.6473,5.3687,5.8889,8.7665,5.85,8.4257,3.6235,4.4409,2.9408,4.3407,2.2931,5.1726
SAYSD1,15.5097,6.9904,7.2113,8.236,11.843,5.5338,9.7065,6.4543,12.2612,8.1065,7.9649,6.0986,9.2873,8.4228,10.994,9.0445,7.465,9.1767,5.1778,6.8906
AKT1,99.1517,98.5897,81.3536,114.8449,84.1109,78.4406,81.9979,63.1133,92.9072,98.026,78.7584,88.8678,90.1488,84.2276,95.5072,87.5008,72.353,73.8793,92.312,81.9965
DERA,2.9264,7.274,10.1914,5.5136,10.2128,12.3581,9.7637,11.4068,8.0066,9.7324,9.5091,11.8716,7.6206,8.42,7.4387,12.6563,13.2431,15.4238,12.6518,9.3466
MAP3K7,6.8703,10.3387,11.6636,8.9099,11.2977,14.5035,7.2299,8.6262,6.3271,8.1136,11.4461,11.9559,6.0141,8.4168,8.6237,7.0005,6.006,7.856,7.5039,7.4719
RFX1,6.9702,8.9378,7.7206,7.2273,4.1652,7.5858,6.299,10.3532,5.9881,7.1122,5.4762,7.2771,6.8489,8.4149,4.3781,6.8808,6.9153,5.7751,6.0227,8.5016
GGCX,6.7566,9.2003,10.123,10.0115,8.071,10.0154,11.3993,9.3442,8.3851,8.6044,7.8393,8.3738,7.5707,8.4143,8.8975,7.1166,8.0861,7.4866,7.186,8.9867
NENF,73.0773,98.2301,72.2062,70.7242,84.7835,55.451,90.6799,114.4476,90.4064,89.5011,71.9524,86.0417,115.741,84.1295,81.0799,111.1057,98.9693,101.9288,188.1688,71.0923
RAC3,23.959,17.4938,8.7543,62.1963,13.9467,8.4384,16.6921,5.8721,12.4346,13.3107,13.734,10.021,17.8576,8.408,39.3208,15.7918,5.1688,8.2935,19.8909,20.1169
