source,target
HK2,GPI
HK2,PFKFB1
HK2,PFKFB2
HK2,PFKFB3
HK2,PFKFB4
HK2,TIGAR
HK2,PFKL
HK2,PFKM
HK2,PFKP
HK2,FBP1
HK2,FBP2
HK2,MPI
HK2,PMM1
HK2,PMM2
HK2,LCT
HK2,GLB1
HK2,PGM1
HK2,PGM2
HK2,GNPDA1
HK2,GNPDA2
HK2,GFPT1
HK2,GFPT2
HK2,NANS
HK2,PKLR
HK2,PKM
HK2,BAX
HK3,GALM
HK3,GPI
HK3,PFKFB1
HK3,PFKFB2
HK3,PFKFB3
HK3,PFKFB4
HK3,TIGAR
HK3,PFKL
HK3,PFKM
HK3,PFKP
HK3,FBP1
HK3,FBP2
HK3,MPI
HK3,PMM1
HK3,PMM2
HK3,LCT
HK3,GLB1
HK3,PGM1
HK3,PGM2
HK3,GNPDA1
HK3,GNPDA2
HK3,GFPT1
HK3,GFPT2
HK3,NANS
HK3,PKLR
HK3,PKM
HK3,BAX
HKDC1,GALM
HKDC1,GPI
HKDC1,PFKFB1
HKDC1,PFKFB2
HKDC1,PFKFB3
HKDC1,PFKFB4
HKDC1,TIGAR
HKDC1,PFKL
HKDC1,PFKM
HKDC1,PFKP
HKDC1,FBP1
HKDC1,FBP2
HKDC1,MPI
HKDC1,PMM1
HKDC1,PMM2
HKDC1,LCT
HKDC1,GLB1
HKDC1,PGM1
HKDC1,PGM2
HKDC1,GNPDA1
HKDC1,GNPDA2
HKDC1,GFPT1
HKDC1,GFPT2
HKDC1,NANS
HKDC1,PKLR
HKDC1,PKM
HKDC1,BAX
GCK,GALM
GCK,GPI
GCK,LCT
GCK,GLB1
GCK,PGM1
GCK,PGM2
GCK,PKLR
GCK,PKM
GALM,HK1
GALM,HK2
GALM,HK3
GALM,HKDC1
GALM,GCK
GALM,G6PC
GALM,G6PC2
GALM,G6PC3
GALM,ADPGK
GALM,GALK1
GALM,GLB1
GALM,LCT
GALM,GLA
GALM,AKR1B1
GALM,AKR1B10
G6PC,PGM1
G6PC,PGM2
G6PC,GPI
G6PC2,PGM1
G6PC2,PGM2
G6PC2,GPI
G6PC3,PGM1
G6PC3,PGM2
G6PC3,GPI
DLD,OGDH
DLD,OGDHL
DLD,PDHA1
DLD,PDHA2
DLD,PDHB
DLD,DLAT
DLD,BCKDHA
DLD,BCKDHB
DLD,DBT
DLD,SHMT1
DLD,SHMT2
PGK1,BPGM
PGK2,BPGM
PCK1,ENO1
PCK1,ENO2
PCK1,ENO3
PCK1,ENO4
PCK1,PKLR
PCK1,PKM
PCK1,PC
PCK1,MDH1
PCK1,MDH2
PCK2,ENO1
PCK2,ENO2
PCK2,ENO3
PCK2,ENO4
PCK2,PKLR
PCK2,PKM
PCK2,PC
PCK2,MDH1
PCK2,MDH2
ACSS2,ALDH2
ACSS2,ALDH1B1
ACSS2,ALDH9A1
ACSS2,ALDH3A2
ACSS2,ALDH7A1
ACSS2,ALDH3A1
ACSS2,ALDH3B1
ACSS2,ALDH3B2
ACSS2,DLAT
ACSS2,ACYP1
ACSS2,ACYP2
ACSS2,ACSS2
ACSS2,ACSS1
ACSS2,ACOT12
ACSS2,ACACA
ACSS2,ACACB
ACSS2,ACAT1
ACSS2,ACAT2
ACSS2,CS
ACSS2,ACADS
ACSS1,ALDH2
ACSS1,ALDH1B1
ACSS1,ALDH9A1
ACSS1,ALDH3A2
ACSS1,ALDH7A1
ACSS1,ALDH3A1
ACSS1,ALDH3B1
ACSS1,ALDH3B2
ACSS1,DLAT
ACSS1,ACYP1
ACSS1,ACYP2
ACSS1,ACSS2
ACSS1,ACSS1
ACSS1,ACOT12
ACSS1,ACACA
ACSS1,ACACB
ACSS1,ACAT1
ACSS1,ACAT2
ACSS1,CS
ACSS1,ACADS
ADPGK,GPI
ADPGK,PGM1
ADPGK,PGM2
MINPP1,ENO1
MINPP1,ENO2
MINPP1,ENO3
MINPP1,ENO4
MINPP1,INPP5J
MINPP1,INPP5A
MINPP1,INPP5K
MINPP1,ITPK1
OGDH,IDH3A
OGDH,IDH3B
OGDH,IDH3G
OGDH,IDH1
OGDH,IDH2
OGDHL,IDH3A
OGDHL,IDH3B
OGDHL,IDH3G
OGDHL,IDH1
OGDHL,IDH2
DLST,OGDH
DLST,OGDHL
DLST,DLD
SUCLG2,DLST
SUCLG1,DLST
SUCLA2,DLST
IDH1,IDH3A
IDH1,IDH3B
IDH1,IDH3G
IDH2,IDH3A
IDH2,IDH3B
IDH2,IDH3G
IDH3A,IDH1
IDH3A,IDH2
IDH3B,IDH1
IDH3B,IDH2
IDH3G,IDH1
IDH3G,IDH2
ACLY,PC
ACLY,PCK1
ACLY,PCK2
ACLY,ACO1
ACLY,ACO2
FH,SDHA
FH,SDHB
FH,SDHC
FH,SDHD
FH,MDH1
FH,MDH2
FH,ME3
FH,ME1
FH,ME2
ACO1,IDH1
ACO1,IDH2
ACO1,IDH3A
ACO1,IDH3B
