source,target
PAFAH1B1,ADCYAP1R1
PLAGL1,ADCYAP1R1
MAPK1,ADCYAP1R1
TP53,ADCYAP1R1
VCL,ADCYAP1R1
VIP,ADCYAP1R1
APBB1IP,ADCYAP1R1
TRAP,ADCYAP1R1
AVP,ADD1
CALM3,ADD1
INS,ADD1
KNG1,ADD1
PPARG,ADD1
ROCK1,ADD1
SCD,ADD1
SREBF1,ADD1
KLF2,ADD1
TXNIP,ADD1
DYT10,ADD1
TWIST2,ADD1
CALM3,ADD2
FYN,ADD2
PTN,ADD2
DYT10,ADD2
ADD1,ADD3
IGF1,ADD3
INS,ADD3
INSR,ADD3
GAPDH,PLIN2
IMPDH1,PLIN2
INS,PLIN2
JUND,PLIN2
LRP1,PLIN2
PDK4,PLIN2
PPARA,PLIN2
PPARD,PLIN2
PPARG,PLIN2
RHO,PLIN2
GRK1,PLIN2
RTN2,PLIN2
SP1,PLIN2
SPI1,PLIN2
RAB18,PLIN2
SPG20,PLIN2
ABHD5,PLIN2
FOXA2,ADH1A
PRDX2,ADH1A
ADH1A,ADH1B
ADH1B,ADH1C
IL13,ADH1C
PPARG,ADH1C
SLC1A2,ADH1C
ADH1A,ADH4
ADH1B,ADH5
ALB,ADH5
PPP5C,ADH5
MAPK8,ADH5
ADH1B,ADH7
ADA,ADK
ADORA3,ADK
ATIC,ADK
FKBP1B,ADK
MUC7,ADK
NT5E,ADK
PPIE,ADK
VN1R17P,ADK
APC,ADM
CALCA,ADM
CALM2,ADM
ACE,ADM
EDN1,ADM
EPAS1,ADM
HIF1A,ADM
HSP90AA1,ADM
IFNG,ADM
IL1B,ADM
INS,ADM
LEP,ADM
MMP7,ADM
MYC,ADM
NPR1,ADM
PTEN,ADM
SOAT1,ADM
SOD2,ADM
TGFB1,ADM
TNF,ADM
TAM,ADM
ADIPOQ,ADM
CALCRL,ADM
UTS2,ADM
KLF15,ADM
KDM3A,ADM
RETN,ADM
MAPKAP1,ADM
MCM8,ADM
CGB5,ADM
MT1DP,ADM
AVP,ADORA1
GAST,ADORA1
IL6,ADORA1
LIF,ADORA1
MCL1,ADORA1
OSM,ADORA1
ACTN2,ADORA2A
ADCY9,ADORA2A
ADORA1,ADORA2A
GRK4,ADORA2A
HIF1A,ADORA2A
MYD88,ADORA2A
PTGDS,ADORA2A
AKAP2,ADORA2A
TH1L,ADORA2A
ADORA1,ADORA2B
ADORA2A,ADORA2B
GRK4,ADORA2B
TGFB1,ADORA2B
ADORA1,ADORA3
ADORA2A,ADORA3
ADORA2B,ADORA3
MERTK,ADORA3
PGP,ADORA3
APEX1,PARP1
FAS,PARP1
FASLG,PARP1
BAX,PARP1
BCL2,PARP1
BCL2L1,PARP1
BDNF,PARP1
BLM,PARP1
CASP1,PARP1
