source,target
TNFAIP6,TAL1::TCF3
SPATA42,TAL1::TCF3
LMO3,TAL1::TCF3
SPATA17,TAL1::TCF3
WBP4,TAL1::TCF3
IRF2BP1,TAL1::TCF3
VPS16,TAL1::TCF3
BCL11A,TAL1::TCF3
FAM19A1,TAL1::TCF3
FGF1,TAL1::TCF3
LINC00911,TAL1::TCF3
ASB4,TAL1::TCF3
MIR3123,TAL1::TCF3
LOC340107,TAL1::TCF3
MIR18B,TAL1::TCF3
DRD1,TAL1::TCF3
HTR7,TAL1::TCF3
ZEB2,TAL1::TCF3
GABARAPL2,TAL1::TCF3
SERPINI1,TAL1::TCF3
MGC34796,TAL1::TCF3
PRR14,Tal-1beta:E47
MIR4493,Tal-1beta:E47
SCUBE1,Tal-1beta:E47
PPFIA4,Tal-1beta:E47
XPNPEP1,Tal-1beta:E47
PRCD,Tal-1beta:E47
KCNH5,Tal-1beta:E47
LSM12,Tal-1beta:E47
NDRG2,Tal-1beta:E47
UBE2M,Tal-1beta:E47
ARPP21,Tal-1beta:E47
CLVS1,Tal-1beta:E47
TJAP1,Tal-1beta:E47
FKBP15,Tal-1beta:E47
TRPM3,Tal-1beta:E47
PRMT8,Tal-1beta:E47
MAPK9,Tal-1beta:E47
YBX2,Tal-1beta:E47
ZNF503-AS1,Tal-1beta:E47
SLC43A1,Tal-1beta:E47
C4orf45,Tal-1beta:E47
BCDIN3D-AS1,Tal-1beta:E47
MAST1,Tal-1beta:E47
CCDC155,Tal-1beta:E47
UBALD1,Tal-1beta:E47
SEMA6D,Tal-1beta:E47
DYNC1I2,Tal-1beta:E47
NMI,Tal-1beta:E47
ALCAM,Tal-1beta:E47
TCF12,Tal-1beta:E47
PKIA,Tal-1beta:E47
FOXN3-AS1,Tal-1beta:E47
UBXN10,Tal-1beta:E47
ELAVL4,Tal-1beta:E47
ABHD14B,Tal-1beta:E47
ANGEL1,Tal-1beta:E47
DLL4,Tal-1beta:E47
FAM160B1,Tal-1beta:E47
IL5RA,Tal-1beta:E47
ATOH7,Tal-1beta:E47
ZC3H3,Tal-1beta:E47
PLCB1,Tal-1beta:E47
TBR1,Tal-1beta:E47
RCAN3,Tal-1beta:E47
ATPAF2,Tal-1beta:E47
RALGAPA2,Tal-1beta:E47
VWA5B1,Tal-1beta:E47
LOC400927,Tal-1beta:E47
MRPL24,Tal-1beta:E47
OR52Z1,Tal-1beta:E47
LINC00658,Tal-1beta:E47
MAPK12,Tal-1beta:E47
HIVEP3,Tal-1beta:E47
LZTS1,Tal-1beta:E47
KLHL35,Tal-1beta:E47
STXBP6,Tal-1beta:E47
LINC00678,Tal-1beta:E47
KIRREL2,Tal-1beta:E47
MEX3A,Tal-1beta:E47
ICT1,Tal-1beta:E47
ZBTB38,Tal-1beta:E47
LIMCH1,Tal-1beta:E47
SLC35B1,Tal-1beta:E47
ZBTB20,Tal-1beta:E47
ATP2C1,Tal-1beta:E47
EPSTI1,Tal-1beta:E47
NEK2,Tal-1beta:E47
DUS4L,Tal-1beta:E47
EIF3H,Tal-1beta:E47
FBXL7,Tal-1beta:E47
PHEX,Tal-1beta:E47
BMP1,Tal-1beta:E47
PLCL2,Tal-1beta:E47
MEIS2,Tal-1beta:E47
PRDM1,Tal-1beta:E47
C2orf91,Tal-1beta:E47
CTNNBL1,Tal-1beta:E47
HSD3B7,Tal-1beta:E47
KIAA1614,Tal-1beta:E47
KIAA1522,Tal-1beta:E47
INPP5J,Tal-1beta:E47
ADCK4,Tal-1beta:E47
SDK2,Tal-1beta:E47
NR5A2,Tal-1beta:E47
CDH23,Tal-1beta:E47
SMIM18,Tal-1beta:E47
ATXN2L,Tal-1beta:E47
FNDC3A,Tal-1beta:E47
MIR96,Tal-1beta:E47
REC8,Tal-1beta:E47
COL1A2,Tal-1beta:E47
G6PC2,Tal-1beta:E47
SCNN1A,Tal-1beta:E47
LOC401463,Tal-1beta:E47
TP53INP2,Tal-1beta:E47
CNTN1,Tal-1beta:E47
WASF2,Tal-1beta:E47
STAG2,Tal-1beta:E47
MBNL2,Tal-1beta:E47
EIF4E3,Tal-1beta:E47
FAM19A1,Tal-1beta:E47
FGF1,Tal-1beta:E47
LINC00911,Tal-1beta:E47
LOC340107,Tal-1beta:E47
MIR18B,Tal-1beta:E47
DRD1,Tal-1beta:E47
